district,taluka,region,crop,year,month,drought_signal,price_signal,ndvi_signal,repayment_proximity,financial_stress
Amravati,Amravati,Vidarbha,cotton,2023,1,0.239,0.341,0.939,1.0,62.1
Amravati,Amravati,Vidarbha,cotton,2023,2,0.15,0.153,0.851,1.0,48.6
Amravati,Amravati,Vidarbha,cotton,2023,3,0.258,0.317,0.973,1.0,74.1
Amravati,Amravati,Vidarbha,cotton,2023,4,0.199,0.071,0.996,0.0,28.2
Amravati,Amravati,Vidarbha,cotton,2023,5,0.258,0.193,1.0,0.0,35.3
Amravati,Amravati,Vidarbha,cotton,2023,6,0.48,0.177,1.0,0.0,46.2
Amravati,Amravati,Vidarbha,cotton,2023,7,0.325,0.255,0.623,0.0,35.4
Amravati,Amravati,Vidarbha,cotton,2023,8,0.687,0.139,0.727,0.0,44.3
Amravati,Amravati,Vidarbha,cotton,2023,9,0.344,0.369,0.218,0.0,23.1
Amravati,Amravati,Vidarbha,cotton,2023,10,0.013,0.298,0.0,0.0,10.6
Amravati,Amravati,Vidarbha,cotton,2023,11,0.036,0.235,0.248,0.3,20.5
Amravati,Amravati,Vidarbha,cotton,2023,12,0.257,0.234,0.601,0.6,46.0
Amravati,Amravati,Vidarbha,cotton,2024,1,0.329,0.0,0.852,1.0,55.8
Amravati,Amravati,Vidarbha,cotton,2024,2,0.146,0.159,0.719,1.0,45.5
Amravati,Amravati,Vidarbha,cotton,2024,3,0.377,0.0,1.0,1.0,65.6
Amravati,Amravati,Vidarbha,cotton,2024,4,0.322,0.307,1.0,0.0,42.6
Amravati,Amravati,Vidarbha,cotton,2024,5,0.171,0.329,1.0,0.0,32.3
Amravati,Amravati,Vidarbha,cotton,2024,6,0.117,0.062,0.869,0.0,26.4
Amravati,Amravati,Vidarbha,cotton,2024,7,0.527,0.136,0.788,0.0,45.7
Amravati,Amravati,Vidarbha,cotton,2024,8,0.302,0.269,0.389,0.0,25.3
Amravati,Amravati,Vidarbha,cotton,2024,9,0.286,0.021,0.107,0.0,10.8
Amravati,Amravati,Vidarbha,cotton,2024,10,0.24,0.272,0.138,0.0,21.6
Amravati,Amravati,Vidarbha,cotton,2024,11,0.224,0.137,0.418,0.3,21.1
Amravati,Amravati,Vidarbha,cotton,2024,12,0.029,0.002,0.591,0.6,27.2
Amravati,Amravati,Vidarbha,cotton,2025,1,0.088,0.395,0.711,1.0,58.3
Amravati,Amravati,Vidarbha,cotton,2025,2,0.008,0.169,0.857,1.0,42.6
Amravati,Amravati,Vidarbha,cotton,2025,3,0.263,0.0,0.944,1.0,57.1
Amravati,Amravati,Vidarbha,cotton,2025,4,0.057,0.0,0.961,0.0,21.2
Amravati,Amravati,Vidarbha,cotton,2025,5,0.176,0.203,0.906,0.0,31.7
Amravati,Amravati,Vidarbha,cotton,2025,6,0.0,0.227,0.838,0.0,30.5
